name,asins,categories,primaryCategories,imageURLs
AmazonBasics Nylon CD/DVD Binder (400 Capacity),"B00DIHVMEA,B00EZ1ZTV0","Audio & Video Accessories,TV, Video & Home Audio,Home Audio & Video Accessories,DVD Cases,Electronics,Media Cases & Storage,TV, Video & Audio Accessories,Media Storage & Organization,Disc Storage Wallets,Consumer Electronics,CD, DVD & Blu-ray Discs,Blank Audio/Video Media,Accessories & Supplies,all electronics",Electronics,"http://ecx.images-amazon.com/images/I/41jQha7Z7VL._SS40_.jpg,https://i.ebayimg.com/images/g/fzIAAOSwyHJcfeFd/s-l64.jpg,http://ecx.images-amazon.com/images/I/41wHqrf0wpL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/A10hSrURNlL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/41rePmoxK0L._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41rePmoxK0L._SY300_QL70_.jpg,http://ecx.images-amazon.com/images/I/01G2aSYe7yS._SS40_PKmb-play-button-overlay-thumb_.png,https://i.ebayimg.com/thumbs/images/g/UsYAAOSwF31b4vv0/s-l96.jpg,https://images-na.ssl-images-amazon.com/images/I/81MKtWTvVfL._SL1500_.jpg,https://i.ebayimg.com/thumbs/images/g/hW4AAOSwn-lZcBGA/s-l200.jpg,https://i.ebayimg.com/images/g/VTYAAOSwKLxbX3mg/s-l64.jpg,https://i.ebayimg.com/images/g/~DQAAOSwwcFcfeFa/s-l300.jpg,https://images-na.ssl-images-amazon.com/images/I/91Qkogm3eRL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/411OrNMIkpL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/81veZwqxAwL._SL1500_.jpg,https://i.ebayimg.com/images/g/hrUAAOSwoXZcfeFm/s-l64.jpg"
Amazon Echo White,"B01E6AO69U,B00L9EPT8O","Stereos,Remote Controls,Audio Docks & Mini Speakers,Kitchen & Dining Features,Home & Tools,Electronics,New Networking,Wireless Speakers,Home, Garage & Office,Portable Speakers,iPod, Audio Player Accessories,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Alarms & Sensors,Amazon Devices,Amazon,Holiday Shop,Kitchen Dining Features,Amazon Echo,Amazon Echo Accessories,Networking,Speaker Systems,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Smart Home Automation,Amazon Device Accessories,Speakers,Smart Hub & Kits,Digital Device 3,Home & Furniture Clearance,Consumer Electronics,Smart Hubs,Home Safety & Security,Voice Assistants,Amazon Home,Virtual Assistant Speakers Displays,Audio",Electronics,"https://i.ebayimg.com/images/g/NWEAAOSwDehbdx6M/s-l140.jpg,https://static.bhphoto.com/images/images500x500/amazon_b01e6ao69u_amazon_echo_white_1474554046000_1283942.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/A8SV_1_20171218336483163.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/A8SV_1_201712181840167816.jpg,https://static.bhphoto.com/images/multiple_images/thumbnails/1474553727000_IMG_689230.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/A8SV_1_201712181267043764.jpg,https://i.ebayimg.com/images/g/rBoAAOSwlR9cZ4-a/s-l64.jpg,https://static.bhphoto.com/images/multiple_images/thumbnails/1474553727000_IMG_689228.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/A1ND_1_201811071155387028.jpg,https://i.ebayimg.com/images/g/VJMAAOSwvcBcZ4-R/s-l64.jpg"
Amazon Echo Show - Black,B01J24C0TI,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Networking,Home & Tools,Smart Home Automation,Electronics,TVs Entertainment,Speakers,New Networking,Smart Hub & Kits,Digital Device 3,Speakers & Audio Systems,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Virtual Assistant Speakers Displays,Home & Outdoors,Amazon,Bluetooth Speakers",Electronics,"https://static.bhphoto.com/images/smallimages/1502460407000_1353418.jpg,https://static.bhphoto.com/images/images500x500/amazon_b01j24c0ti_echo_show_black_1502460407000_1353418.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/81-511-002-Z01.jpg,https://www.barcodable.com/images/barcode/0841667120010.png,https://c1.neweggimages.com/NeweggImage/ProductImage/81-511-002-V03.jpg,https://images-na.ssl-images-amazon.com/images/I/51syqGPcCmL.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/81-511-002-V01.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/81-511-002-V02.jpg"
Echo Spot Pair Kit (Black),B073SQYXTW,"Amazon Echo,Networking,Home & Tools,Smart Home Automation,Smart Speakers,Electronics,TVs Entertainment,New Networking,Smart Hub & Kits,Digital Device 3,Speakers & Audio Systems,Consumer Electronics,Wireless Speakers,See more Amazon Echo Spot Smart Assistant - Black,Smart Speakers, Hubs & Accessories,Home Improvement,Amazon Home,Surveillance & Smart Home Electronics,Virtual Assistant Speakers Displays,Home & Outdoors,Amazon,Bluetooth Speakers",Electronics,"https://target.scene7.com/is/image/Target/GUEST_81e3a82a-3c3f-4d96-a100-b37133ade762,https://static.bhphoto.com/images/multiple_images/thumbnails/1517511633000_IMG_939524.jpg,https://static.bhphoto.com/images/multiple_images/thumbnails/1517511633000_IMG_939520.jpg,https://i.ebayimg.com/thumbs/images/g/29oAAOSwb-1cNj9Q/s-l96.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/81-511-014-V03.jpg,https://static.bhphoto.com/images/images500x500/amazon_b073sqyxtw_echo_spot_black_1517511943000_1387919.jpg,https://static.bhphoto.com/images/multiple_images/thumbnails/1517511633000_IMG_939521.jpg,https://i.ebayimg.com/images/g/QPsAAOSw1Fdch-PS/s-l64.jpg,https://static.bhphoto.com/images/smallimages/1517511943000_1387919.jpg,https://i.ebayimg.com/images/g/W14AAOSw7ttch-PQ/s-l64.jpg,https://static.bhphoto.com/images/smallimages/1518016044000_1389425.jpg,https://i.ebayimg.com/images/g/MIAAAOSwAFFb9xYV/s-l64.jpg,https://i.ebayimg.com/images/g/M9wAAOSwwrlch-PK/s-l64.jpg,https://static.bhphoto.com/images/images500x500/amazon_echo_spot_pair_kit_1518016044000_1389425.jpg,https://i.ebayimg.com/images/g/bIgAAOSwJr1bt~Nh/s-l64.jpg,https://i.ebayimg.com/images/g/ZvQAAOSwvSNch-PO/s-l64.jpg,https://static.bhphoto.com/images/multiple_images/thumbnails/1517511633000_IMG_939522.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/81-511-014-V05.jpg,https://i.ebayimg.com/images/g/I7gAAOSwxphch-PF/s-l64.jpg,https://i.ebayimg.com/images/g/1gkAAOSw5sBbViJB/s-l64.jpg,https://i.ebayimg.com/images/g/Y-QAAOSwHptcQJ8i/s-l64.jpg,https://i.ebayimg.com/images/g/3oQAAOSw1ktbViJA/s-l64.jpg,https://i.ebayimg.com/images/g/mRcAAOSwAnxchL85/s-l64.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/81-511-014-V06.jpg,https://static.bhphoto.com/images/multiple_images/thumbnails/1517511633000_IMG_939523.jpg"
Fire TV Stick Streaming Media Player Pair Kit,B00ZV9RDKK,"Electronics,TVs Entertainment,Featured Brands,Other TV, Video & Audio Accs,College Tvs & Home Theater,Streaming Media Players,Fire TV,TVs Entertainment xbqxrzdteyyb,Ways To Shop,Amazon SMP,Electronics Features,TVs & Home Theater,TV, Video & Home Audio,On To College,Media Streamers,TV & Home Theater,TV, Video & Audio Accessories,Digital Device 4,All Streaming Media Players,College Electronics,Video Devices & TV Tuners,Consumer Electronics,TV & Video,Streaming Devices,Back To College,Amazon Devices,Amazon,Holiday Shop",Electronics,"https://static.bhphoto.com/images/smallimages/1478208182000_1288281.jpg,https://static.bhphotovideo.com/explora/sites/default/files/cs-how-to-buy-a-streaming-device_0.jpg,https://static.bhphoto.com/images/images500x500/amazon_fire_tv_stick_streaming_1520948784000_1395909.jpg,https://static.bhphoto.com/images/images500x500/amazon_b00zv9rdkk_amazon_fire_tv_stick_1478208182000_1288281.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/1J8-0051-00003-S01.jpg,https://static.bhphoto.com/images/smallimages/1520948784000_1395909.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/1J8-0051-00003-S02.jpg"
AmazonBasics Ventilated Adjustable Laptop Stand,B00WRDS8H0,"Laptop Computer Stands,Electronics Features,Stands, Holders & Car Mounts,Home Office Furniture,Electronics,Office & School Supplies,Computers Features,Personal Computer,Office Furniture & Lighting,Furniture,Office Products,Desk Accessories & Workspace Organizers,Office Furniture Lighting,Computer Add On,Stands,Computers/Tablets & Networking,Platforms, Stands & Shelves,Laptop & Desktop Accessories,Laptop Cases & Bags,Notebook Computer Stands",Electronics,"https://i.ebayimg.com/images/g/AwgAAOSwKCZb348B/s-l300.jpg,https://images-na.ssl-images-amazon.com/images/I/916D5HKrjlL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91PXH%2BQbA1L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71NsRhnKZPL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/A1RmEMcdj7L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81ljd7Y%2BliL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91pzK3H%2B5UL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/815ixcHmB-L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91WlVCVZNQL._SL1500_.jpg,https://i.ebayimg.com/images/g/pCEAAOSwQjNW8tD8/s-l64.jpg,http://i.ebayimg.com/images/g/ll4AAOSwRjtZuOei/s-l64.jpg,https://www.barcodable.com/images/barcode/0841710107685.png,http://ecx.images-amazon.com/images/I/41aeyB-hJiL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/91tQ-trOzUL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91YOjLVgvmL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/61chZadhpNL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/919PniM97eL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/51f4TVyc9mL.jpg,https://images-na.ssl-images-amazon.com/images/I/919MimgBSyL._SL1500_.jpg,https://i.ebayimg.com/images/g/XPMAAOSwzvlW8tDy/s-l300.jpg"
AmazonBasics Backpack for Laptops up to 17-inches,"B00EEBS9O0,B01CHQHIJK","Portable Computer Accessories,Bags, Cases & Sleeves,Accessories,Computers & Accessories,Laptop Accessories,Electronics,Backpacks",Electronics,"https://images-na.ssl-images-amazon.com/images/I/81KBTBCJjxL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/5177Lj2lMFL._SS40_.jpg,http://ecx.images-amazon.com/images/I/418s12RPslL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/81pSxDnk-IL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91kaprrJnvL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/41Dfm-ifb9L._SS40_.jpg,http://ecx.images-amazon.com/images/I/5177Lj2lMFL._SY300_QL70_.jpg,https://images-na.ssl-images-amazon.com/images/I/91koVqsBMuL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91kTsNbl02L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/916XgVrfzgL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81lrFqRwdBL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/914gXUa4IHL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/416mnrdSB0L._SS40_.jpg,http://ecx.images-amazon.com/images/I/51vsCF05ecL._SS40_.jpg,http://ecx.images-amazon.com/images/I/51%2525252B92oF-ReL._SS40_.jpg"
AmazonBasics 11.6-Inch Laptop Sleeve,"B01B66989K,B00CD8ADKO,B00LA9H6UM","Portable Computer Accessories,Bags, Cases & Sleeves,Accessories,Sleeves,Computers & Accessories,Laptop Accessories,Electronics,computers",Electronics,"https://images-na.ssl-images-amazon.com/images/I/81xGoFGB49L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71D6Onqq-YL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81uBipeELeL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71ixyMfIzTL._SL1208_.jpg,https://images-na.ssl-images-amazon.com/images/I/91zgRENFr8L._SL1500_.jpg,http://ecx.images-amazon.com/images/I/51Jx96mlB9L._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/91VDw1Ry32L._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71DCCHWN%2BZL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91xdlcYop%2BL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91dvHr1-QVL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61URuOuykJL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/41q4XHrvYcL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/81s-orT5i9L._SL1500_.jpg,http://ecx.images-amazon.com/images/I/416hB63JUPL._SS40_.jpg,http://ecx.images-amazon.com/images/I/31Vpx9i%2BlXL._SS40_.jpg,http://ecx.images-amazon.com/images/I/41%2BBcZEipEL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/71xN4fTrT2L._SL1208_.jpg,https://images-na.ssl-images-amazon.com/images/I/81Yv00Jv1sL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/311KFufveSL._SS40_PKmb-play-button-overlay-thumb_.jpg,https://images-na.ssl-images-amazon.com/images/I/914Q6%2BPocXL._SL1500_.jpg"
AmazonBasics 15.6-Inch Laptop and Tablet Bag,B00DUGZFWY,"Bags, Cases & Sleeves,Computers & Accessories,See more AmazonBasics 15.6 Inch Laptop And Tablet Bag -...,Electronics,Tablet Accessories,Accessories,Computers/Tablets & Networking,Messenger Bags,Bags,Laptop & Desktop Accessories,Laptop Cases & Bags,Laptop Accessories,Cases,computers,Backpacks",Electronics,"http://i.ebayimg.com/images/g/V9oAAOSwFGNWTa-h/s-l64.jpg,http://i.ebayimg.com/images/g/x5YAAOSwd0BV0Fo9/s-l64.jpg,http://ecx.images-amazon.com/images/I/41e4VOv7HHL._SS40_.jpg,http://i.ebayimg.com/images/g/V9oAAOSwFGNWTa-h/s-l300.jpg,https://images-na.ssl-images-amazon.com/images/I/91PNYEQZxUL._SL1500_.jpg,https://i.ebayimg.com/images/g/FZYAAOSw1URat5sl/s-l64.jpg,http://ecx.images-amazon.com/images/I/31KLHxtHDOL._SS40_.jpg,http://i.ebayimg.com/images/g/dEIAAOSwu4BV0Fo9/s-l64.jpg,http://i.ebayimg.com/images/g/9koAAOSwT6pV0Fo9/s-l64.jpg,https://i.ebayimg.com/images/g/6j4AAOSwpxFat5sl/s-l64.jpg,https://images-na.ssl-images-amazon.com/images/I/81IYUstMgJL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/51JRWF7wIOL._SS40_.jpg,https://i.ebayimg.com/images/g/UsQAAOSwuGZat5sl/s-l64.jpg,https://images-na.ssl-images-amazon.com/images/I/81a92O-MAbL._SL1500_.jpg,https://i.ebayimg.com/images/g/ahsAAOSwWG5at5sl/s-l64.jpg,http://ecx.images-amazon.com/images/I/41nre2x2R2L._SS40_.jpg,http://ecx.images-amazon.com/images/I/51Rqwz-l7JL._SX300_QL70_.jpg,https://images-na.ssl-images-amazon.com/images/I/91Fm9%2BGVTcL._SL1500_.jpg,http://ecx.images-amazon.com/images/I/41Mg8C2SgEL._SS40_.jpg,https://images-na.ssl-images-amazon.com/images/I/91rH8xqDpTL._SL1500_.jpg,https://i.ebayimg.com/images/g/7Q8AAOSwQPtat5sl/s-l64.jpg,http://i.ebayimg.com/images/g/x5QAAOSwd0BV0Fo9/s-l64.jpg,https://i.ebayimg.com/images/g/jLwAAOSwLhBat5sl/s-l64.jpg,https://images-na.ssl-images-amazon.com/images/I/71MmEOo12cL._SL1500_.jpg,http://i.ebayimg.com/images/g/tJQAAOSwZd1Vbx8c/s-l300.jpg,https://images-na.ssl-images-amazon.com/images/I/81MER-nsThL._SL1500_.jpg,https://i.ebayimg.com/images/g/7Q8AAOSwQPtat5sl/s-l300.jpg,http://i.ebayimg.com/images/g/12wAAOSwyQtV0Fo-/s-l64.jpg,https://images-na.ssl-images-amazon.com/images/I/910jzFEjc1L._SL1500_.jpg,http://ecx.images-amazon.com/images/I/311KFufveSL._SS40_PKmb-play-button-overlay-thumb_.jpg"
AmazonBasics External Hard Drive Case,"B00F5CKWBA,B00KPQCWAU","Electronics Features,Drives, Storage & Blank Media,Hard Drive Pouches,Computers & Accessories,Computer Accessories & Peripherals,Hard Drive Accessories,Electronics,Computers Features,Personal Computer,Accessories,Hard Drive Bags Cases,Computers/Tablets & Networking,Drive Enclosures & Docks,Laptop & Desktop Accessories,Hard Drive Bags & Cases,Carrying Case Or Bag",Electronics,"https://images-na.ssl-images-amazon.com/images/I/81k4GJvEyUL._SL1500_.jpg,https://i.ebayimg.com/images/g/gV8AAOSw~odb~D4c/s-l64.jpg,https://images-na.ssl-images-amazon.com/images/I/91cG35r45AL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/91SKPOVoyWL._SL1500_.jpg,https://i.ebayimg.com/thumbs/images/g/G6MAAOSwu3tcOsTI/s-l200.jpg,https://i.ebayimg.com/images/g/gkUAAOSwT-pb~D4c/s-l64.jpg,https://i.ebayimg.com/images/g/1VYAAOSw~xtcO6H5/s-l640.jpg,https://images-na.ssl-images-amazon.com/images/I/81VLfx9j%2BjL._SL1500_.jpg,https://i.ebayimg.com/thumbs/images/g/ERgAAOSwA3xcGJ6p/s-l200.jpg,https://i.ebayimg.com/images/g/oxQAAOSwvO9b~D4b/s-l300.jpg,https://i.ebayimg.com/thumbs/images/g/0ukAAOSwaudbV2Gm/s-l200.jpg"
