product_name,price,image,category,subcategory,product_desc
"POLESTAR""Noble Blue 32 Ltrs Casual",537,shop/images/bwl0.jpg,"Bags, Wallets and Luggage",bwl0,"POLESTAR""Noble Blue 32 Ltrs Casual bagpack/School Bag/Laptop Backpack"
American Tourister 32 Ltrs Black,999,shop/images/bwl1.jpg,"Bags, Wallets and Luggage",bwl1,American Tourister 32 Ltrs Black Casual Backpack (AMT Fizz SCH Bag 02 - Black)
American Tourister 32 Ltrs Grey,999,shop/images/bwl2.jpg,"Bags, Wallets and Luggage",bwl2,American Tourister 32 Ltrs Grey Casual Backpack (AMT Fizz SCH Bag 02 - Grey)
Mufubu Presents Get Unbarred 55,829,shop/images/bwl3.jpg,"Bags, Wallets and Luggage",bwl3,"Mufubu Presents Get Unbarred 55 LTR Rucksack for Trekking, Hiking with Shoe Compartment…"
Gear Polyester 38 cms Grey,499,shop/images/bwl4.jpg,"Bags, Wallets and Luggage",bwl4,Gear Polyester 38 cms Grey Travel Duffle (DUFCRSTNG0406)
Skybags Polycarbonate 55 cms Blue,2389,shop/images/bwl5.jpg,"Bags, Wallets and Luggage",bwl5,Skybags Polycarbonate 55 cms Blue Hardsided Cabin Luggage (Trooper)
Half Moon 34 Ltrs Casual,490,shop/images/bwl6.jpg,"Bags, Wallets and Luggage",bwl6,Half Moon 34 Ltrs Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office…
American Tourister 32 Ltrs Red,999,shop/images/bwl7.jpg,"Bags, Wallets and Luggage",bwl7,American Tourister 32 Ltrs Red Casual Backpack (AMT Fizz SCH Bag 03 - RED)
SAFARI 15 Ltrs Sea Blue,299,shop/images/bwl8.jpg,"Bags, Wallets and Luggage",bwl8,SAFARI 15 Ltrs Sea Blue Casual Backpack (DAYPACKNEO15CBSEB)
F Gear Luxur 25 Ltrs,774,shop/images/bwl9.jpg,"Bags, Wallets and Luggage",bwl9,F Gear Luxur 25 Ltrs Brown Laptop Backpack (2404)
American Tourister Copa 22 Ltrs,699,shop/images/bwl10.jpg,"Bags, Wallets and Luggage",bwl10,American Tourister Copa 22 Ltrs Black Casual Backpack (FU9 (0) 09 002)
travel360 degree Neck Pillow for,299,shop/images/bwl11.jpg,"Bags, Wallets and Luggage",bwl11,travel360 degree Neck Pillow for Travelling
American Tourister Copa 22 Ltrs,699,shop/images/bwl12.jpg,"Bags, Wallets and Luggage",bwl12,American Tourister Copa 22 Ltrs Teal Casual Backpack (FU9 (0) 11 002)
GoTrippin Weight Machine for Luggage,794,shop/images/bwl13.jpg,"Bags, Wallets and Luggage",bwl13,"GoTrippin Weight Machine for Luggage, Luggage Weight Scale Digital, Weighing Scale Digital for…"
POLESTAR XPLORE 55 ltrs with,840,shop/images/bwl14.jpg,"Bags, Wallets and Luggage",bwl14,POLESTAR XPLORE 55 ltrs with Rain Cover Rucksack/Hiking/Trekking Backpack Bag 55 ltrs…
Travel360 degree Neck Travel Pillow,299,shop/images/bwl15.jpg,"Bags, Wallets and Luggage",bwl15,Travel360 degree Neck Travel Pillow Multipurpose
American Tourister 32 Ltrs Blue,999,shop/images/bwl16.jpg,"Bags, Wallets and Luggage",bwl16,American Tourister 32 Ltrs Blue Casual Backpack (AMT Fizz SCH Bag 02 - Blue)
SNDIA Multicolor Keyring & Keychain,145,shop/images/bwl17.jpg,"Bags, Wallets and Luggage",bwl17,SNDIA Multicolor Keyring & Keychain with Name Tag Labels (Pack of 50)
SAFARI 15 Ltrs Denim Blue,279,shop/images/bwl18.jpg,"Bags, Wallets and Luggage",bwl18,SAFARI 15 Ltrs Denim Blue Casual Backpack (DAYPACKNEO15CBDNB)
American Tourister 32 Ltrs Black,999,shop/images/bwl19.jpg,"Bags, Wallets and Luggage",bwl19,American Tourister 32 Ltrs Black Casual Backpack (AMT Fizz SCH Bag 03)(33cms x 22cms x 51cms)
Wildcraft 45 Ltrs Grey and,1599,shop/images/bwl20.jpg,"Bags, Wallets and Luggage",bwl20,Wildcraft 45 Ltrs Grey and Orange Rucksack (8903338073864)
Friends of Meditation 100% Mulberry,311,shop/images/bwl21.jpg,"Bags, Wallets and Luggage",bwl21,"Friends of Meditation 100% Mulberry Silk, Super Smooth Sleep Mask and Blind Fold (Black)"
SFANE Duffel Gym Bag,399,shop/images/bwl22.jpg,"Bags, Wallets and Luggage",bwl22,"SFANE Duffel Gym Bag,Shoulder Bag for Men & Women with Shoe Compartment (Grey,Black)"
