product_name,price,image,category,product_desc,subcategory
Redmi Note 8 ,10499,shop/images/Electronics0.jpg,Electronics,"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",ELC0
Redmi Note 8 ,10499,shop/images/Electronics1.jpg,Electronics,"Redmi Note 8 (Moonlight White, 4GB RAM, 64GB Storage)",ELC1
Vivo U20 ,11990,shop/images/Electronics2.jpg,Electronics,"Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 6GB RAM, 64GB",ELC2
Redmi Note 8 ,10499,shop/images/Electronics3.jpg,Electronics,"Redmi Note 8 (Cosmic Purple, 4GB RAM, 64GB Storage)",ELC3
Redmi Note 8 ,10499,shop/images/Electronics4.jpg,Electronics,"Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage)",ELC4
Redmi Note 8 Pro ,13999,shop/images/Electronics5.jpg,Electronics,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 64GB Storage with Helio G90T Processor) - 6…",ELC5
Mi Smart Band 4 ,2299,shop/images/Electronics6.jpg,Electronics,"Mi Smart Band 4 - Waterproof with Color AMOLED Touch Screen, Music Control, Unlimited Watch…",ELC6
Samsung Galaxy M30s ,12999,shop/images/Electronics7.jpg,Electronics,"Samsung Galaxy M30s (Blue, 4GB RAM, 64GB Storage)",ELC7
Redmi 8A Dual ,6999,shop/images/Electronics8.jpg,Electronics,"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage)",ELC8
boAt BassHeads 100 in,379,shop/images/Electronics9.jpg,Electronics,boAt BassHeads 100 in-Ear Headphones with Mic (Black),ELC9
Redmi Note 8 Pro ,13999,shop/images/Electronics10.jpg,Electronics,"Redmi Note 8 Pro (Halo White, 6GB RAM, 64GB Storage with Helio G90T Processor) - 6 Month No…",ELC10
Samsung Galaxy M30s ,14999,shop/images/Electronics11.jpg,Electronics,"Samsung Galaxy M30s (Blue, 6GB RAM, 128GB Storage)",ELC11
Redmi Note 8 Pro ,13999,shop/images/Electronics12.jpg,Electronics,"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 64GB Storage with Helio G90T Processor) - 6 Month No…",ELC12
boAt Rockerz 255 Sports Bluetooth,1399,shop/images/Electronics13.jpg,Electronics,boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and…,ELC13
Vivo U10 ,10990,shop/images/Electronics14.jpg,Electronics,"Vivo U10 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 4GB RAM, 64GB Storage)",ELC14
pTron Bassbuds in,999,shop/images/Electronics15.jpg,Electronics,pTron Bassbuds in-Ear True Wireless Bluetooth Headphones (TWS) with Mic - (Black),ELC15
Samsung Galaxy M30s ,14999,shop/images/Electronics16.jpg,Electronics,"Samsung Galaxy M30s (Opal Black, 6GB RAM, 128GB Storage)",ELC16
Redmi Note 8 Pro ,15999,shop/images/Electronics17.jpg,Electronics,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)…",ELC17
JBL C100SI In,599,shop/images/Electronics18.jpg,Electronics,JBL C100SI In-Ear Deep Bass Headphones with Mic (Black),ELC18
Mi 20000mAH Li,1399,shop/images/Electronics19.jpg,Electronics,Mi 20000mAH Li-Polymer Power Bank 2i (Sandstone Black) with 18W Fast Charging,ELC19
Redmi Note 8 Pro ,13999,shop/images/Electronics20.jpg,Electronics,"Redmi Note 8 Pro (Shadow Black, 6GB RAM, 64GB Storage with Helio G90T Processor) - 6 Month No…",ELC20
Realme Buds Wireless,1789,shop/images/Electronics21.jpg,Electronics,Realme Buds Wireless,ELC21
Vivo U10 ,8990,shop/images/Electronics22.jpg,Electronics,"Vivo U10 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB Storage)",ELC22
Fire TV Stick streaming media,3999,shop/images/Electronics23.jpg,Electronics,"Fire TV Stick streaming media player with Alexa built in, includes all-new Alexa Voice Remote, HD,…",ELC23
Realme Buds 2 with Mic,509,shop/images/Electronics24.jpg,Electronics,Realme Buds 2 with Mic for Android Smartphones (Black),ELC24
Redmi Note 8 ,12999,shop/images/Electronics25.jpg,Electronics,"Redmi Note 8 (Neptune Blue, 6GB RAM, 128GB Storage) - Extra 1,000 Off on Exchange & 6…",ELC25
Vivo U20 ,11990,shop/images/Electronics26.jpg,Electronics,"Vivo U20 (Racing Black, Snapdragon 675 AIE, 6GB RAM, 64GB Storage)",ELC26
Vivo U10 ,15999,shop/images/Electronics27.jpg,Electronics,"Vivo U10 (Thunder Black,5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB Storage)",ELC27
Redmi Note 8 Pro ,899,shop/images/Electronics28.jpg,Electronics,"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 128GB Storage with Helio G90T Processor) - Extra 1,000…",ELC28
Mi 10000mAH Li,402,shop/images/Electronics29.jpg,Electronics,Mi 10000mAH Li-Polymer Power Bank 2i (Black) with 18W Fast Charging,ELC29
SanDisk Cruzer Blade 32GB USB,2299,shop/images/Electronics30.jpg,Electronics,SanDisk Cruzer Blade 32GB USB Flash Drive,ELC30
HONOR Band 5 ,9490,shop/images/Electronics31.jpg,Electronics,"HONOR Band 5 (CoralPink)- Waterproof Full Color AMOLED Touchscreen, SpO2 (Blood Oxygen),…",ELC31
Vivo U10 ,399,shop/images/Electronics32.jpg,Electronics,"Vivo U10 (Thunder Black, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 64GB Storage)",ELC32
Mi Earphone Basic with Ultra,1599,shop/images/Electronics33.jpg,Electronics,Mi Earphone Basic with Ultra deep bass and mic (Blue),ELC33
Mi Band 3 ,15999,shop/images/Electronics34.jpg,Electronics,Mi Band 3 (Black),ELC34
Redmi Note 8 Pro ,9490,shop/images/Electronics35.jpg,Electronics,"Redmi Note 8 Pro (Halo White, 6GB RAM, 128GB Storage with Helio G90T Processor) - Extra 1,000…",ELC35
Vivo U10 ,42999,shop/images/Electronics36.jpg,Electronics,"Vivo U10 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 64GB Storage)",ELC36
OnePlus 7 Pro ,399,shop/images/Electronics37.jpg,Electronics,"OnePlus 7 Pro (Nebula Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4000mAH…",ELC37
Mi Earphone Basic with Ultra,15999,shop/images/Electronics38.jpg,Electronics,Mi Earphone Basic with Ultra deep bass and mic (Black),ELC38
Redmi Note 8 Pro ,499,shop/images/Electronics39.jpg,Electronics,"Redmi Note 8 Pro (Shadow Black, 6GB RAM, 128GB Storage with Helio G90T Processor)…",ELC39
boAt BassHeads 225 in,6499,shop/images/Electronics40.jpg,Electronics,boAt BassHeads 225 in-Ear Super Extra Bass Headphones (Black),ELC40
