product_name,price,image,subcategory,category,product_desc
Pigeon by Stovekraft New Handy,249,shop/images/Kitchen0.jpg,KAT1,Kitchen,Pigeon by Stovekraft New Handy Mini Plastic Chopper with 3 Blades
Milton Thermosteel Flip Lid Flask,494,shop/images/Kitchen1.jpg,KAT2,Kitchen,Milton Thermosteel Flip Lid Flask
Ganesh Chopper Vegetable Cutter,175,shop/images/Kitchen2.jpg,KAT3,Kitchen,Ganesh Chopper Vegetable Cutter
Prestige Electric Kettle PKOSS ,699,shop/images/Kitchen3.jpg,KAT4,Kitchen,Prestige Electric Kettle PKOSS 
Pigeon by Stovekraft Handy Mini,281,shop/images/Kitchen4.jpg,KAT5,Kitchen,Pigeon by Stovekraft Handy Mini Plastic Chopper with 3 Blades
Glun Multipurpose Portable Electronic Digital,299,shop/images/Kitchen5.jpg,KAT6,Kitchen,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine 
Ezee Garbage Bag ,195,shop/images/Kitchen6.jpg,KAT7,Kitchen,Ezee Garbage Bag 
Spotzero by Milton Prime Mop,1499,shop/images/Kitchen7.jpg,KAT8,Kitchen,Spotzero by Milton Prime Mop with Big Wheels and Stainless Steel Wringer 
Kuber Industries Metalic Flower 3,199,shop/images/Kitchen8.jpg,KAT9,Kitchen,Kuber Industries Metalic Flower 3 Piece Non Woven Saree Cover Set
Hand Pro Nitrile Powder,319,shop/images/Kitchen9.jpg,KAT10,Kitchen,Hand Pro Nitrile Powder
Milton Plastic Multi,175,shop/images/Kitchen10.jpg,KAT11,Kitchen,Milton Plastic Multi
Wakefit Sleeping Pillow ,399,shop/images/Kitchen11.jpg,KAT12,Kitchen,Wakefit Sleeping Pillow 
Wakefit Water Proof Terry Cotton,599,shop/images/Kitchen12.jpg,KAT13,Kitchen,Wakefit Water Proof Terry Cotton Mattress Protector
Bajaj Majesty DX 11 1000,575,shop/images/Kitchen13.jpg,KAT14,Kitchen,Bajaj Majesty DX 11 1000
Decals Design 'Flowers Branch' Wall,99,shop/images/Kitchen14.jpg,KAT15,Kitchen,Decals Design 'Flowers Branch' Wall Sticker 
Prestige Iris,2894,shop/images/Kitchen15.jpg,KAT16,Kitchen,Prestige Iris
GLUN7mmHot,119,shop/images/Kitchen16.jpg,KAT17,Kitchen,GLUN7mmHot
Wipro Garnet Smart Light 7W,498,shop/images/Kitchen17.jpg,KAT18,Kitchen,Wipro Garnet Smart Light 7W B22 LED Bulb
GaneshMultipurposeVegetableand,449,shop/images/Kitchen18.jpg,KAT19,Kitchen,GaneshMultipurposeVegetableand
Milton Thermosteel Duo Deluxe Vacuum,899,shop/images/Kitchen19.jpg,KAT20,Kitchen,Milton Thermosteel Duo Deluxe Vacuum Insulated Flask
Spotzero by Milton E,1100,shop/images/Kitchen20.jpg,KAT21,Kitchen,Spotzero by Milton E
Beybee Quick Dry Bed Protector,164,shop/images/Kitchen21.jpg,KAT22,Kitchen,Beybee Quick Dry Bed Protector Waterproof Baby Cot Sheet 
Scotch,120,shop/images/Kitchen22.jpg,KAT23,Kitchen,Scotch
Decals Design StickersKart Wall Stickers,109,shop/images/Kitchen23.jpg,KAT24,Kitchen,Decals Design StickersKart Wall Stickers Tree with Birds and Cages 
Butterfly EKN 1.5,625,shop/images/Kitchen24.jpg,KAT25,Kitchen,Butterfly EKN 1.5
Cello Checkers Plastic Container Set,599,shop/images/Kitchen25.jpg,KAT26,Kitchen,Cello Checkers Plastic Container Set
Cello Venice Exclusive Edition Plastic,320,shop/images/Kitchen26.jpg,KAT27,Kitchen,Cello Venice Exclusive Edition Plastic Water Bottle Set
Prestige PIC 20 1200 Watt,1608,shop/images/Kitchen27.jpg,KAT28,Kitchen,Prestige PIC 20 1200 Watt Induction Cooktop with Push button 
OddyUniwrapsFoodWrapping,141,shop/images/Kitchen28.jpg,KAT29,Kitchen,OddyUniwrapsFoodWrapping
